Exercise Name,Type of Activity,Type of Equipment,Body Part,Type,Muscle Groups Activated,Instruction
Exercise 1,Cardio,Cable Machine,Core,Stretch,"glutes, hamstrings, calves",Squeeze the target muscles at the top of the movement.
Exercise 2,Mobility,Bodyweight,Full Body,Stretch,"spine extensors, abdominals, shoulders","Exhale while exerting force, and inhale while returning to start."
Exercise 3,Mobility,Cable Machine,Upper Body,Push,"lats, rhomboids, biceps",Rest for 30-60 seconds between sets.
Exercise 4,Strength,TRX,Upper Body,Pull,"abdominals, obliques, shoulders",Maintain a neutral spine throughout the exercise.
Exercise 5,Mobility,Rope,Lower Body,Stretch,"pectorals, front deltoids, triceps",Keep your shoulders relaxed and down.
Exercise 6,Strength,Treadmill,Upper Body,Pull,"chest, triceps, front deltoids",Control your motion—avoid using momentum.
Exercise 7,Mobility,Rope,Core,Push,"calves, shoulders, forearms, core","Exhale while exerting force, and inhale while returning to start."
Exercise 8,Cardio,Resistance Band,Core,Hold,"calves, shoulders, forearms, core",Rest for 30-60 seconds between sets.
Exercise 9,Cardio,Treadmill,Core,Hold,"abdominals, obliques, shoulders",Perform slow and controlled repetitions.
Exercise 10,Mobility,Treadmill,Upper Body,Stretch,"lats, rhomboids, biceps",Maintain a neutral spine throughout the exercise.
Exercise 11,Warm-up,TRX,Lower Body,Pull,"rear deltoids, traps, rhomboids",Maintain a neutral spine throughout the exercise.
Exercise 12,Mobility,Barbell,Upper Body,Stretch,"traps, rear deltoids, biceps",Keep your shoulders relaxed and down.
Exercise 13,Mobility,Dumbbells,Core,Stretch,"spine extensors, abdominals, shoulders",Rest for 30-60 seconds between sets.
Exercise 14,Strength,Barbell,Lower Body,Pull,"pectorals, front deltoids, triceps",Rest for 30-60 seconds between sets.
Exercise 15,Warm-up,Medicine Ball,Upper Body,Stretch,"pectorals, front deltoids, triceps",Rest for 30-60 seconds between sets.
Exercise 16,Mobility,Rope,Lower Body,Push,"deltoids, triceps",Control your motion—avoid using momentum.
Exercise 17,Strength,Treadmill,Lower Body,Hold,"spine extensors, abdominals, shoulders","Exhale while exerting force, and inhale while returning to start."
Exercise 18,Strength,Resistance Band,Upper Body,Hold,"glutes, hamstrings, lower back",Perform slow and controlled repetitions.
Exercise 19,Strength,Treadmill,Core,Hold,"chest, triceps, front deltoids",Squeeze the target muscles at the top of the movement.
Exercise 20,Cardio,Barbell,Upper Body,Pull,"rear deltoids, traps, rhomboids",Keep your back straight and avoid locking your knees.
Exercise 21,Mobility,Bodyweight,Full Body,Hold,"spine extensors, abdominals, shoulders",Ensure full range of motion without overstretching.
Exercise 22,Strength,TRX,Lower Body,Hold,"quadriceps, glutes, hamstrings, core",Keep your shoulders relaxed and down.
Exercise 23,Strength,Cable Machine,Upper Body,Stretch,"calves, shoulders, forearms, core",Perform slow and controlled repetitions.
Exercise 24,Strength,Kettlebells,Full Body,Hold,"lats, rhomboids, biceps",Squeeze the target muscles at the top of the movement.
Exercise 25,Mobility,Kettlebells,Full Body,Pull,"spine extensors, abdominals, shoulders",Perform slow and controlled repetitions.
Exercise 26,Mobility,Rope,Full Body,Hold,"spine extensors, abdominals, shoulders",Squeeze the target muscles at the top of the movement.
Exercise 27,Strength,TRX,Lower Body,Pull,"spine extensors, abdominals, shoulders","Exhale while exerting force, and inhale while returning to start."
Exercise 28,Warm-up,Barbell,Core,Hold,"spine extensors, abdominals, shoulders",Maintain a neutral spine throughout the exercise.
Exercise 29,Mobility,Cable Machine,Upper Body,Push,"chest, triceps, front deltoids",Ensure full range of motion without overstretching.
Exercise 30,Mobility,TRX,Core,Stretch,"abdominals, obliques, shoulders",Perform slow and controlled repetitions.
Exercise 31,Cardio,Resistance Band,Upper Body,Hold,"glutes, hamstrings, lower back",Control your motion—avoid using momentum.
Exercise 32,Mobility,Kettlebells,Core,Pull,"hip flexors, core, quadriceps",Maintain a neutral spine throughout the exercise.
Exercise 33,Strength,TRX,Upper Body,Push,"hip flexors, core, quadriceps",Stand tall and engage your core throughout the movement.
Exercise 34,Warm-up,Medicine Ball,Core,Stretch,"calves, shoulders, forearms, core",Ensure full range of motion without overstretching.
Exercise 35,Strength,Rope,Core,Stretch,"spine extensors, abdominals, shoulders",Rest for 30-60 seconds between sets.
Exercise 36,Warm-up,Rope,Full Body,Pull,"glutes, hamstrings, lower back",Maintain a neutral spine throughout the exercise.
Exercise 37,Strength,Dumbbells,Upper Body,Hold,"rear deltoids, traps, rhomboids",Keep your back straight and avoid locking your knees.
Exercise 38,Mobility,Kettlebells,Core,Stretch,"glutes, hamstrings, calves",Ensure full range of motion without overstretching.
Exercise 39,Warm-up,Cable Machine,Lower Body,Push,"hip flexors, core, quadriceps",Control your motion—avoid using momentum.
Exercise 40,Mobility,Medicine Ball,Upper Body,Pull,"quadriceps, glutes, hamstrings, core",Rest for 30-60 seconds between sets.
Exercise 41,Warm-up,Dumbbells,Lower Body,Hold,"spine extensors, abdominals, shoulders",Rest for 30-60 seconds between sets.
Exercise 42,Cardio,Dumbbells,Full Body,Hold,"chest, triceps, front deltoids",Squeeze the target muscles at the top of the movement.
Exercise 43,Mobility,Cable Machine,Full Body,Pull,"hip flexors, core, quadriceps",Keep your shoulders relaxed and down.
Exercise 44,Warm-up,Kettlebells,Upper Body,Push,"biceps, forearms, deltoids",Stand tall and engage your core throughout the movement.
Exercise 45,Cardio,Dumbbells,Core,Hold,"quadriceps, glutes, hamstrings, core",Perform slow and controlled repetitions.
Exercise 46,Cardio,Rope,Full Body,Push,"biceps, forearms, deltoids",Maintain a neutral spine throughout the exercise.
Exercise 47,Mobility,Bodyweight,Lower Body,Hold,"spine extensors, abdominals, shoulders",Stand tall and engage your core throughout the movement.
Exercise 48,Cardio,Resistance Band,Lower Body,Pull,"traps, rear deltoids, biceps",Control your motion—avoid using momentum.
Exercise 49,Mobility,Dumbbells,Full Body,Hold,"lats, rhomboids, biceps",Rest for 30-60 seconds between sets.
Exercise 50,Warm-up,Rope,Upper Body,Push,"rear deltoids, traps, rhomboids","Exhale while exerting force, and inhale while returning to start."
Exercise 51,Cardio,Bodyweight,Core,Stretch,"deltoids, triceps",Keep your shoulders relaxed and down.
Exercise 52,Strength,Dumbbells,Upper Body,Stretch,"abdominals, obliques, shoulders",Maintain a neutral spine throughout the exercise.
Exercise 53,Mobility,Cable Machine,Full Body,Hold,"traps, rear deltoids, biceps",Keep your shoulders relaxed and down.
Exercise 54,Cardio,Treadmill,Lower Body,Push,"quadriceps, glutes, hamstrings, core",Squeeze the target muscles at the top of the movement.
Exercise 55,Strength,Kettlebells,Full Body,Pull,"erector spinae, traps, hamstrings",Stand tall and engage your core throughout the movement.
Exercise 56,Strength,Cable Machine,Full Body,Stretch,"traps, rear deltoids, biceps",Squeeze the target muscles at the top of the movement.
Exercise 57,Cardio,Medicine Ball,Upper Body,Stretch,"calves, shoulders, forearms, core","Exhale while exerting force, and inhale while returning to start."
Exercise 58,Cardio,Medicine Ball,Lower Body,Push,"calves, shoulders, forearms, core",Rest for 30-60 seconds between sets.
Exercise 59,Mobility,Rope,Core,Push,"rear deltoids, traps, rhomboids",Rest for 30-60 seconds between sets.
Exercise 60,Cardio,Treadmill,Core,Stretch,"glutes, hamstrings, lower back",Keep your shoulders relaxed and down.
Exercise 61,Strength,Bodyweight,Lower Body,Pull,"glutes, hamstrings, lower back",Maintain a neutral spine throughout the exercise.
Exercise 62,Strength,Dumbbells,Full Body,Hold,"biceps, forearms, deltoids",Keep your back straight and avoid locking your knees.
Exercise 63,Cardio,Kettlebells,Lower Body,Hold,"hip flexors, core, quadriceps","Exhale while exerting force, and inhale while returning to start."
Exercise 64,Mobility,Barbell,Core,Pull,"abdominals, obliques, shoulders",Keep your shoulders relaxed and down.
Exercise 65,Warm-up,TRX,Lower Body,Pull,"abdominals, obliques, shoulders",Keep your shoulders relaxed and down.
Exercise 66,Warm-up,Dumbbells,Core,Hold,"erector spinae, traps, hamstrings",Control your motion—avoid using momentum.
Exercise 67,Mobility,TRX,Core,Pull,"quadriceps, glutes, hamstrings, core","Exhale while exerting force, and inhale while returning to start."
Exercise 68,Strength,Cable Machine,Lower Body,Hold,"glutes, hamstrings, calves",Keep your back straight and avoid locking your knees.
Exercise 69,Warm-up,Medicine Ball,Core,Stretch,"hip flexors, core, quadriceps",Maintain a neutral spine throughout the exercise.
Exercise 70,Cardio,Rope,Upper Body,Stretch,"rear deltoids, traps, rhomboids",Squeeze the target muscles at the top of the movement.
Exercise 71,Warm-up,Rope,Core,Stretch,"hip flexors, core, quadriceps",Control your motion—avoid using momentum.
Exercise 72,Cardio,Kettlebells,Upper Body,Hold,"pectorals, front deltoids, triceps",Perform slow and controlled repetitions.
Exercise 73,Mobility,TRX,Lower Body,Hold,"calves, shoulders, forearms, core",Squeeze the target muscles at the top of the movement.
Exercise 74,Strength,Bodyweight,Core,Pull,"abdominals, obliques, shoulders",Control your motion—avoid using momentum.
Exercise 75,Strength,Treadmill,Full Body,Hold,"quadriceps, glutes, hamstrings, core",Control your motion—avoid using momentum.
Exercise 76,Cardio,Kettlebells,Full Body,Stretch,"calves, shoulders, forearms, core",Stand tall and engage your core throughout the movement.
Exercise 77,Mobility,Cable Machine,Lower Body,Push,"calves, shoulders, forearms, core",Rest for 30-60 seconds between sets.
Exercise 78,Mobility,Bodyweight,Core,Stretch,"lats, rhomboids, biceps",Keep your shoulders relaxed and down.
Exercise 79,Strength,Resistance Band,Core,Pull,"glutes, hamstrings, lower back",Perform slow and controlled repetitions.
Exercise 80,Warm-up,Kettlebells,Core,Hold,"quadriceps, glutes, hamstrings, core",Maintain a neutral spine throughout the exercise.
Exercise 81,Warm-up,Bodyweight,Lower Body,Stretch,"rear deltoids, traps, rhomboids",Ensure full range of motion without overstretching.
Exercise 82,Warm-up,Cable Machine,Upper Body,Pull,"chest, triceps, front deltoids",Keep your shoulders relaxed and down.
Exercise 83,Cardio,Kettlebells,Core,Push,"glutes, hamstrings, lower back",Ensure full range of motion without overstretching.
Exercise 84,Mobility,Medicine Ball,Core,Pull,"erector spinae, traps, hamstrings",Rest for 30-60 seconds between sets.
Exercise 85,Strength,Bodyweight,Lower Body,Push,"pectorals, front deltoids, triceps",Keep your back straight and avoid locking your knees.
Exercise 86,Mobility,Rope,Core,Hold,"pectorals, front deltoids, triceps",Keep your back straight and avoid locking your knees.
Exercise 87,Strength,Bodyweight,Lower Body,Push,"glutes, hamstrings, calves",Perform slow and controlled repetitions.
Exercise 88,Cardio,Medicine Ball,Lower Body,Pull,"rear deltoids, traps, rhomboids",Ensure full range of motion without overstretching.
Exercise 89,Mobility,Treadmill,Lower Body,Stretch,"biceps, forearms, deltoids",Stand tall and engage your core throughout the movement.
Exercise 90,Mobility,Medicine Ball,Upper Body,Push,"deltoids, triceps",Keep your back straight and avoid locking your knees.
Exercise 91,Strength,TRX,Full Body,Push,"deltoids, triceps",Maintain a neutral spine throughout the exercise.
Exercise 92,Cardio,Treadmill,Lower Body,Pull,"traps, rear deltoids, biceps",Ensure full range of motion without overstretching.
Exercise 93,Cardio,Cable Machine,Lower Body,Push,"spine extensors, abdominals, shoulders",Keep your back straight and avoid locking your knees.
Exercise 94,Strength,Treadmill,Full Body,Pull,"deltoids, triceps","Exhale while exerting force, and inhale while returning to start."
Exercise 95,Cardio,Rope,Lower Body,Pull,"chest, triceps, front deltoids",Perform slow and controlled repetitions.
Exercise 96,Warm-up,Dumbbells,Upper Body,Push,"chest, triceps, front deltoids",Maintain a neutral spine throughout the exercise.
Exercise 97,Warm-up,Bodyweight,Upper Body,Push,"traps, rear deltoids, biceps",Ensure full range of motion without overstretching.
Exercise 98,Warm-up,Kettlebells,Upper Body,Pull,"calves, shoulders, forearms, core",Perform slow and controlled repetitions.
Exercise 99,Cardio,Resistance Band,Full Body,Stretch,"traps, rear deltoids, biceps",Maintain a neutral spine throughout the exercise.
Exercise 100,Mobility,Rope,Upper Body,Pull,"quadriceps, glutes, hamstrings, core",Keep your back straight and avoid locking your knees.
Exercise 101,Cardio,Medicine Ball,Upper Body,Pull,"spine extensors, abdominals, shoulders",Squeeze the target muscles at the top of the movement.
Exercise 102,Warm-up,Rope,Full Body,Pull,"glutes, hamstrings, calves",Keep your shoulders relaxed and down.
Exercise 103,Warm-up,Barbell,Core,Stretch,"calves, shoulders, forearms, core",Perform slow and controlled repetitions.
Exercise 104,Mobility,Kettlebells,Full Body,Pull,"hip flexors, core, quadriceps","Exhale while exerting force, and inhale while returning to start."
Exercise 105,Mobility,Resistance Band,Lower Body,Hold,"calves, shoulders, forearms, core",Keep your back straight and avoid locking your knees.
Exercise 106,Warm-up,Dumbbells,Upper Body,Hold,"erector spinae, traps, hamstrings",Keep your back straight and avoid locking your knees.
Exercise 107,Strength,Barbell,Upper Body,Push,"chest, triceps, front deltoids",Rest for 30-60 seconds between sets.
Exercise 108,Cardio,Treadmill,Lower Body,Hold,"chest, triceps, front deltoids",Keep your back straight and avoid locking your knees.
Exercise 109,Strength,Kettlebells,Full Body,Hold,"biceps, forearms, deltoids",Stand tall and engage your core throughout the movement.
Exercise 110,Strength,Rope,Upper Body,Hold,"rear deltoids, traps, rhomboids",Control your motion—avoid using momentum.
Exercise 111,Strength,Barbell,Full Body,Pull,"glutes, hamstrings, lower back",Stand tall and engage your core throughout the movement.
Exercise 112,Cardio,Kettlebells,Full Body,Push,"erector spinae, traps, hamstrings",Perform slow and controlled repetitions.
Exercise 113,Strength,Barbell,Full Body,Hold,"calves, shoulders, forearms, core",Perform slow and controlled repetitions.
Exercise 114,Mobility,Rope,Upper Body,Push,"glutes, hamstrings, calves","Exhale while exerting force, and inhale while returning to start."
Exercise 115,Mobility,Barbell,Core,Push,"glutes, hamstrings, lower back",Keep your back straight and avoid locking your knees.
Exercise 116,Mobility,Kettlebells,Lower Body,Push,"abdominals, obliques, shoulders",Rest for 30-60 seconds between sets.
Exercise 117,Strength,Medicine Ball,Full Body,Hold,"quadriceps, glutes, hamstrings, core",Control your motion—avoid using momentum.
Exercise 118,Cardio,Kettlebells,Lower Body,Push,"erector spinae, traps, hamstrings","Exhale while exerting force, and inhale while returning to start."
Exercise 119,Cardio,Resistance Band,Core,Push,"chest, triceps, front deltoids",Rest for 30-60 seconds between sets.
Exercise 120,Mobility,Rope,Upper Body,Hold,"lats, rhomboids, biceps",Control your motion—avoid using momentum.
Exercise 121,Warm-up,Medicine Ball,Upper Body,Hold,"quadriceps, glutes, hamstrings, core",Rest for 30-60 seconds between sets.
Exercise 122,Strength,Bodyweight,Lower Body,Stretch,"calves, shoulders, forearms, core",Squeeze the target muscles at the top of the movement.
Exercise 123,Mobility,Kettlebells,Lower Body,Stretch,"abdominals, obliques, shoulders",Ensure full range of motion without overstretching.
Exercise 124,Strength,Treadmill,Upper Body,Stretch,"glutes, hamstrings, lower back",Ensure full range of motion without overstretching.
Exercise 125,Mobility,Rope,Full Body,Hold,"biceps, forearms, deltoids",Squeeze the target muscles at the top of the movement.
Exercise 126,Cardio,Barbell,Upper Body,Pull,"abdominals, obliques, shoulders",Control your motion—avoid using momentum.
Exercise 127,Warm-up,TRX,Core,Hold,"lats, rhomboids, biceps",Maintain a neutral spine throughout the exercise.
Exercise 128,Warm-up,Kettlebells,Full Body,Hold,"glutes, hamstrings, calves",Rest for 30-60 seconds between sets.
Exercise 129,Strength,Kettlebells,Upper Body,Pull,"glutes, hamstrings, lower back",Control your motion—avoid using momentum.
Exercise 130,Cardio,Treadmill,Full Body,Push,"abdominals, obliques, shoulders",Control your motion—avoid using momentum.
Exercise 131,Warm-up,Cable Machine,Full Body,Hold,"spine extensors, abdominals, shoulders",Keep your shoulders relaxed and down.
Exercise 132,Mobility,Barbell,Lower Body,Push,"glutes, hamstrings, calves",Perform slow and controlled repetitions.
Exercise 133,Warm-up,Cable Machine,Lower Body,Push,"rear deltoids, traps, rhomboids",Rest for 30-60 seconds between sets.
Exercise 134,Strength,Medicine Ball,Lower Body,Pull,"glutes, hamstrings, lower back",Ensure full range of motion without overstretching.
Exercise 135,Cardio,Medicine Ball,Full Body,Push,"traps, rear deltoids, biceps","Exhale while exerting force, and inhale while returning to start."
Exercise 136,Warm-up,TRX,Lower Body,Hold,"pectorals, front deltoids, triceps",Perform slow and controlled repetitions.
Exercise 137,Mobility,Kettlebells,Upper Body,Stretch,"calves, shoulders, forearms, core","Exhale while exerting force, and inhale while returning to start."
Exercise 138,Mobility,Kettlebells,Core,Hold,"glutes, hamstrings, calves",Maintain a neutral spine throughout the exercise.
Exercise 139,Warm-up,Kettlebells,Core,Hold,"lats, rhomboids, biceps",Keep your shoulders relaxed and down.
Exercise 140,Warm-up,TRX,Core,Pull,"traps, rear deltoids, biceps",Perform slow and controlled repetitions.
Exercise 141,Cardio,Bodyweight,Upper Body,Stretch,"abdominals, obliques, shoulders",Ensure full range of motion without overstretching.
Exercise 142,Mobility,Kettlebells,Upper Body,Hold,"glutes, hamstrings, lower back",Perform slow and controlled repetitions.
Exercise 143,Warm-up,Kettlebells,Core,Push,"glutes, hamstrings, calves",Ensure full range of motion without overstretching.
Exercise 144,Warm-up,Barbell,Full Body,Hold,"spine extensors, abdominals, shoulders",Keep your back straight and avoid locking your knees.
Exercise 145,Strength,Rope,Upper Body,Hold,"glutes, hamstrings, lower back",Stand tall and engage your core throughout the movement.
Exercise 146,Cardio,Resistance Band,Core,Hold,"erector spinae, traps, hamstrings",Control your motion—avoid using momentum.
Exercise 147,Cardio,Kettlebells,Upper Body,Pull,"pectorals, front deltoids, triceps","Exhale while exerting force, and inhale while returning to start."
Exercise 148,Cardio,Treadmill,Core,Stretch,"glutes, hamstrings, calves",Maintain a neutral spine throughout the exercise.
Exercise 149,Mobility,TRX,Upper Body,Pull,"traps, rear deltoids, biceps",Stand tall and engage your core throughout the movement.
Exercise 150,Strength,Medicine Ball,Core,Stretch,"biceps, forearms, deltoids",Perform slow and controlled repetitions.
Exercise 151,Cardio,Cable Machine,Core,Push,"erector spinae, traps, hamstrings",Rest for 30-60 seconds between sets.
Exercise 152,Cardio,Treadmill,Upper Body,Hold,"lats, rhomboids, biceps","Exhale while exerting force, and inhale while returning to start."
Exercise 153,Strength,Medicine Ball,Core,Hold,"glutes, hamstrings, calves",Rest for 30-60 seconds between sets.
Exercise 154,Cardio,Bodyweight,Upper Body,Pull,"glutes, hamstrings, calves",Keep your back straight and avoid locking your knees.
Exercise 155,Warm-up,Treadmill,Lower Body,Push,"glutes, hamstrings, lower back",Stand tall and engage your core throughout the movement.
Exercise 156,Strength,Medicine Ball,Upper Body,Push,"deltoids, triceps",Rest for 30-60 seconds between sets.
Exercise 157,Strength,Kettlebells,Core,Pull,"glutes, hamstrings, lower back",Keep your back straight and avoid locking your knees.
Exercise 158,Mobility,Cable Machine,Core,Stretch,"calves, shoulders, forearms, core","Exhale while exerting force, and inhale while returning to start."
Exercise 159,Warm-up,Rope,Upper Body,Stretch,"quadriceps, glutes, hamstrings, core",Control your motion—avoid using momentum.
Exercise 160,Mobility,Barbell,Lower Body,Hold,"rear deltoids, traps, rhomboids",Squeeze the target muscles at the top of the movement.
Exercise 161,Mobility,Resistance Band,Full Body,Stretch,"deltoids, triceps",Ensure full range of motion without overstretching.
Exercise 162,Mobility,Barbell,Core,Stretch,"spine extensors, abdominals, shoulders",Ensure full range of motion without overstretching.
Exercise 163,Mobility,Rope,Full Body,Pull,"lats, rhomboids, biceps",Stand tall and engage your core throughout the movement.
Exercise 164,Cardio,TRX,Lower Body,Hold,"pectorals, front deltoids, triceps",Keep your back straight and avoid locking your knees.
Exercise 165,Mobility,Treadmill,Lower Body,Push,"pectorals, front deltoids, triceps",Ensure full range of motion without overstretching.
